SITUACAO LOTE  DATA  NUMERO    
=========== ======================= ============= =============== 
1           1 202306         5223103928
0           2 202306         5223101250
0           3 202306         5223101961
0           3 202306         5223109972
0           5 202306         5223139983
0           4 202306         5223140082
0           2 202306         3101240247
1           3 202306         5223240269
1           1 202306         5223101240
0           7 202306         5221240357
0           9 202306         5223140379
1           6 202306         5201638722
0           5 202306         5223138733
1           6 202306         5221638854
0           7 202306         5223108876
0           8 202306         5221638920
0           1 202306         5223639063
1           1 202306         5223109107
0           2 202306         5223101649
0           3 202306         5223139371
